"сумма док.,без НДС",% оплаты,"сумма оплачено,без НДС","сумма оплачено,с НДС ",дата докум.,Дата закр. Аванса,Дата постановки на оплату (аванс),"сумма док.,без НДС2","сумма док.,с НДС",дата докум.3,"сумма к оплате с учетом аванса,без НДС","сумма к оплате с учетом аванса,с НДС ",Дата постановки на оплату (оконч. платеж.),Контрагент
1416914.369426752,70.0,991840.058598726,1170371.269146497,2015-06-10,2015-07-29 00:00:00,2015-06-24 00:00:00,1133786.859872611,1337868.494649681,2015-06-30 00:00:00,141946.8012738854,167497.2255031848,2015-07-29 00:00:00,3
1465276.165605095,66.0,967082.269299363,1141157.077773248,2015-06-01,2015-07-29 00:00:00,2015-06-10 00:00:00,1107857.910828025,1307272.33477707,2015-06-30 00:00:00,140775.6415286623,166115.2570038214,2015-07-29 00:00:00,1
31917795.59235669,50.0,15958897.79617834,18831499.39949044,2015-05-20,2015-07-29 00:00:00,2015-06-10 00:00:00,29029013.75159236,34254236.22687898,2015-06-30 00:00:00,13070115.95541402,15422736.82738854,2015-07-29 00:00:00,2
6519750.0,50.0,3259875.0,3846652.5,2015-05-20,2015-07-29 00:00:00,2015-06-10 00:00:00,6684159.821656051,7887308.589554139,2015-06-30 00:00:00,3424284.821656051,4040656.089554139,2015-07-29 00:00:00,2
14614638.91719745,100.0,14614638.91719745,17245273.92229299,2015-05-29,2015-07-29 00:00:00,2015-06-10 00:00:00,41014057.13375796,48396587.41783439,2015-06-30 00:00:00,11784779.29936306,13906039.57324841,,4
14614638.91719745,100.0,14614638.91719745,17245273.92229299,2015-05-29,2015-07-29 00:00:00,2015-06-17 00:00:00,40162076.06369427,47391249.75515924,2015-07-17 00:00:00,10932798.22929936,12900701.91057325,2015-07-22 00:00:00,4
1133786.855538934,70.0,793650.7988772537,936507.9426751593,2015-07-10,2015-08-26 00:00:00,2015-07-29 00:00:00,988198.5796178344,1166074.323949045,2015-07-31 00:00:00,194547.7807405808,229566.3812738853,2015-08-26 00:00:00,3
1575194.949044586,66.0,1039628.666369427,1226761.826315923,2015-07-01,2015-08-26 00:00:00,2015-07-15 00:00:00,987965.3630573249,1165799.128407643,2015-07-31 00:00:00,-51663.30331210175,29278.91270772016,-95711.4357159999,1
32531719.8089172,50.0,16265859.9044586,19193714.68726115,2015-06-17,2015-08-26 00:00:00,2015-07-15 00:00:00,32294063.82165605,38106995.30955414,2015-07-31 00:00:00,16028203.91719745,18913280.62229299,2015-08-26 00:00:00,2
7460350.318471338,50.0,3730175.159235669,4401606.687898089,2015-06-17,2015-08-26 00:00:00,2015-07-15 00:00:00,8045701.452229299,9493927.713630572,2015-07-31 00:00:00,4315526.292993629,5092321.025732483,2015-08-26 00:00:00,2
16228318.66242038,100.0,16228318.66242038,19149416.02165605,2015-06-22,2015-08-26 00:00:00,2015-07-08 00:00:00,41998243.31210191,49557927.10828025,2015-07-31 00:00:00,9541605.987261139,11259095.06496815,,4
16228318.66242038,100.0,16228318.66242038,19149416.02165605,2015-06-22,2015-08-26 00:00:00,2015-07-15 00:00:00,42259937.96815287,49866726.80242038,2015-08-17 00:00:00,9803300.643312097,11567894.75910828,2015-08-26 00:00:00,4
566771.0245060995,100.0,566771.0245060995,668789.8089171974,2015-08-10,2015-08-26 00:00:00,2015-08-12 00:00:00,1211222.5477707,1429242.606369426,2015-08-31 00:00:00,644451.5232646009,760452.7974522291,2015-09-23 00:00:00,3
1571336.331210191,66.0,1037081.978598726,1223756.734746497,2015-08-01,2015-09-30 00:00:00,2015-08-12 00:00:00,880636.0891719745,1039150.58522293,2015-08-31 00:00:00,-156445.8894267518,-184606.1495235671,,1
34104676.23566879,50.0,17052338.11783439,20121758.97904458,2015-07-21,2015-09-30 00:00:00,2015-08-12 00:00:00,30473963.73248408,35959277.2043312,2015-08-31 00:00:00,13421625.61464968,15837518.22528662,2015-09-23 00:00:00,2
7460350.318471338,50.0,3730175.159235669,4401606.687898089,2015-07-21,2015-09-30 00:00:00,2015-08-12 00:00:00,7910298.414012739,9334152.12853503,2015-08-31 00:00:00,4180123.25477707,4932545.440636941,2015-09-23 00:00:00,2
16588902.24840764,100.0,16588902.24840764,19574904.65312102,2015-07-31,2015-09-30 00:00:00,2015-08-12 00:00:00,40048473.24840764,47257198.43312101,2015-08-31 00:00:00,6870668.751592353,8107389.126878977,,4
16588902.24840764,100.0,16588902.24840764,19574904.65312102,2015-07-31,2015-09-30 00:00:00,2015-08-19 00:00:00,38921039.62420382,45926826.75656051,2015-09-17 00:00:00,5743235.127388537,6777017.450318478,,4
691730.540861492,100.0,691730.540861492,816242.0382165606,2015-09-03,2015-10-28 00:00:00,2015-09-09 00:00:00,2529450.942675159,2984752.112356688,2015-09-30 00:00:00,1837720.401813667,2168510.074140127,2015-10-28 00:00:00,3
1498370.178343949,66.0,988924.3177070065,1166930.694894267,2015-09-01,2015-10-28 00:00:00,2015-09-23 00:00:00,1037635.108280255,1224409.427770701,2015-09-30 00:00:00,48710.79057324829,-32762.87773956705,90241.6106160001,1
